QuestId,NpcId,Phase,Seq,Text,Speaker
212,researcher,offer,3,이 잠식이라는 게 대체 어디서 비롯된 건지… 꼭 규명하고 싶거든.,npc
212,researcher,offer,4,조사해 줄 수 있어?,npc
212,researcher,progress,1,젤리는 아직 안 모였나 보네. 슬라임을 조사해서 젤리를 구해줘.,npc
212,researcher,complete,1,고마워! 이 젤리 속에… 어두운 그늘의 파편이 엉겨 붙어 있어.,npc
212,researcher,complete,2,연구소에서 정밀하게 분석해 볼게. 정화할 방법도 찾을 수 있을 거야.,npc
213,blacksmith,offer,1,이제 진짜 광석을 두드려 볼 때가 왔어!,npc
213,blacksmith,offer,2,벌판 바위틈에서 구리 광석 열 개만 캐다 줘. 튼튼한 금속의 시작이지!,npc
213,blacksmith,offer,3,단단한 놈들로 채광하려면 손맛 좀 봐야 할 텐데 자신 있지?,npc
213,blacksmith,offer,4,멋지게 두드려 볼까?,npc
213,blacksmith,progress,1,구리 광석은 아직이야? 대장간 화로는 언제든 준비 완료라고!,npc
213,blacksmith,complete,1,크으! 때깔 좋은 구리 광석이군. 제련할 맛 제대로 나겠어.,npc
213,blacksmith,complete,2,다음은 화로 차례야. 광석을 녹여서 번쩍이는 주괴를 뽑아보자고!,npc
214,blacksmith,offer,1,가져온 광석을 화로에 넣고 쇳물을 끓여봐!,npc
214,blacksmith,offer,2,구리 주괴 두 개면 돼. 이게 바로 대장장이의 첫 결실이지.,npc
214,blacksmith,offer,3,불 앞에서 조급해하면 쇠를 망치는 법이야. 침착하게 지켜보라고!,npc
214,blacksmith,offer,4,불 한번 당겨볼까?,npc
214,blacksmith,progress,1,주괴는 아직 안 나왔어? 화로 불꽃을 유심히 지켜봐!,npc
214,blacksmith,complete,1,오오! 묵직하고 단단하게 잘 굳었군. 제법 손재주가 있는데?,npc
214,blacksmith,complete,2,이제 이 구리 주괴로 새 곡괭이를 만들 수 있어. 연구소에서 제조법을 확인해 봐!,npc
215,blacksmith,offer,1,구리 곡괭이를 직접 쥐어보면 돌 곡괭이 따윈 다시는 못 쓸걸!,npc
215,blacksmith,offer,2,연구소에서 구리 도구 연구를 마치고 작업대에서 직접 곡괭이를 두드려 만들어 봐.,npc
215,blacksmith,offer,3,금속 도구의 짜릿한 손맛을 맛볼 준비 됐지?,npc
215,blacksmith,offer,4,자 최고의 도구를 만들어보자고!,npc
215,blacksmith,progress,1,곡괭이는 아직이야? 연구소에서 연구를 먼저 마쳐야 제작할 수 있어!,npc
215,blacksmith,complete,1,하하하! 끝내주게 날이 섰군. 이 곡괭이라면 어떤 바위도 쩍쩍 갈라질 거야!,npc
215,blacksmith,complete,2,아 참! 촌장님이 벌판 옛 이정표에 대해 할 말이 있다더군. 한번 가 보라고.,npc
216,elder,offer,1,사냥터 벌판 곳곳에 고대 개척단이 남긴 이정표 석상이 남아 있다네.,npc
216,elder,offer,2,그 주변을 사나운 멧돼지들이 가로막고 있다더군. 멧돼지 셋을 물리치고 이정표를 살펴봐 주겠나?,npc
216,elder,offer,3,석상에 새겨진 문양이 연구소의 고대 두루마리와 똑같다는 이야기가 있어.,npc
216,elder,offer,4,자네가 그 진실을 확인해 주게.,npc
216,elder,progress,1,이정표는 확인해 보았는가? 멧돼지가 거칠 터이니 조심하게나.,npc
216,elder,complete,1,역시… 석상의 문양이 두루마리와 일치하는구먼! 전설 속 푸른 불씨 개척단은 실존했던 게야.,npc
216,elder,complete,2,하지만 석상 주변에도 검은 이슬이 맺혀 있었지… 빛과 그늘이 함께 깨어나고 있는 것 같네.,npc
301,vendor,offer,1,어머 벌판을 오가는 모습을 봤는데 발걸음이 참 가볍고 날렵하더군!,npc
301,vendor,offer,2,사냥꾼의 기본은 질긴 풀로 덫과 끈을 엮는 법이지.,npc
301,vendor,offer,3,풀 열 포기만 모아 와 볼래? 네 재빠른 손놀림을 한번 보고 싶거든!,npc
301,vendor,offer,4,골라 담아 와 봐!,npc
301,vendor,progress,1,풀은 다 뜯어 왔어? 사냥꾼은 발소리도 숨겨야 하는 법이야~,npc
301,vendor,complete,1,어머나! 결도 고르고 아주 단단하게 골라왔네. 손재주가 보통이 아니야!,npc
301,vendor,complete,2,사냥꾼의 자질이 아주 충분한걸?,npc
302,vendor,offer,1,다른 주민들과도 이야기 나눠봤어?,npc
302,vendor,offer,2,대장장이 로체는 배틀스미스 연구원 엘렌은 알케미스트 헛간지기 토리는 와일드키퍼를 가르쳐 주고 있잖아.,npc
302,vendor,offer,3,어떤 길이 네 모험에 어울릴지 마을을 둘러보며 충분히 고민해 봐~,npc
302,vendor,offer,4,하지만 내 시험을 시작하면 다른 직업 시험은 포기해야 해. 오직 사냥꾼의 길에만 집중해야 하거든!,npc
302,vendor,offer,5,마음을 정했다면 주먹도끼 스무 개를 다듬어 와 봐. 정말로 날렵한 손놀림과 투척의 길 '트래퍼'를 선택할래?,npc
302,vendor,progress,1,주먹도끼는 넉넉히 깎았어? 사냥터에선 도끼 하나가 목숨을 살리기도 해.,npc
302,vendor,complete,1,완벽해! 날카로운 돌날과 가벼운 무게 중심… 오늘부터 넌 어엿한 '트래퍼'야!,npc
302,vendor,complete,2,이제 던져도 던져도 손에 남는 알뜰한 손놀림을 가르쳐 줄게!,npc
303,vendor,offer,1,스킬창(K)을 열어봐! 트래퍼 탭에 네 첫 직업 기술이 열렸을 거야.,npc
303,vendor,offer,2,기술을 배우고 벌판에서 직접 솜씨를 뽐내보고 와 줄래?,npc
303,vendor,progress,1,첫 기술은 익혀 봤어? 몸에 익을 때까지 사냥터에서 연습해 봐!,npc
303,vendor,complete,1,손끝에 감각이 딱 붙었지? 앞으로 사냥터의 맹수들은 네 손바닥 안이야!,npc
311,blacksmith,offer,1,크하하! 네 녀석 곡괭이질 폼을 보니 어깨에 제법 힘이 실려 있더군!,npc
311,blacksmith,offer,2,모루를 탕탕 내리치려면 화로를 활활 달굴 좋은 장작이 필요해.,npc
311,blacksmith,offer,3,나무 열 토막만 구해다 줘 봐. 네 힘이 대장간에 어울리는지 보자고!,npc
311,blacksmith,offer,4,힘 한번 써볼 텐가?,npc
311,blacksmith,progress,1,장작은 아직인가? 쇠를 달구려면 펄펄 끓는 불길이 필요하다고!,npc
311,blacksmith,complete,1,오호! 옹이가 꽉 찬 좋은 나무로군. 화로에 던져 넣으면 모루가 춤을 추겠어!,npc
311,blacksmith,complete,2,묵직한 망치질을 감당할 힘이 넘치는군 그래!,npc
312,blacksmith,offer,1,어이 다른 녀석들 이야기도 들어보고 온 건가?,npc
312,blacksmith,offer,2,마리의 잰 손놀림(트래퍼) 엘렌의 푸른 비전 마법(알케미스트) 토리의 자연 수호(와일드키퍼)... 다들 각자의 멋이 있지.,npc
312,blacksmith,offer,3,네 녀석의 진짜 적성이 어디인지 천천히 고민하고 와도 늦지 않다!,npc
312,blacksmith,offer,4,단 이 모루 앞에 서서 시험을 시작하면 다른 직업 시험은 미련 없이 포기해야 해. 망치를 쥐고 한눈을 팔 수는 없으니까!,npc
312,blacksmith,offer,5,단단한 구리 광석 다섯 개를 캐 와 봐. 단단한 바위도 부숴버릴 묵직한 한 방 '배틀스미스'의 길을 걷겠나?,npc
312,blacksmith,progress,1,구리 광석은 아직이야? 돌을 깨부수는 손맛에 집중해 봐!,npc
312,blacksmith,complete,1,으하하하! 순도 높은 구리 광석이군! 쇠의 무게를 아는 진정한 '배틀스미스'의 탄생이다!,npc
312,blacksmith,complete,2,적의 단단한 껍질 따윈 네 일격에 박살 날 거다!,npc
313,blacksmith,offer,1,자 스킬창(K)의 배틀스미스 탭을 봐라! 모루에서 벼려낸 파쇄의 기술이 기다린다.,npc
313,blacksmith,offer,2,기술을 배우고 벌판의 녀석들에게 모루 맛을 보여주고 와!,npc
313,blacksmith,progress,1,배틀스미스 기술은 써 봤나? 모루처럼 흔들리지 않는 한 방을 날려봐!,npc
313,blacksmith,complete,1,묵직한 굉음이 여기까지 들리더군! 단단한 적일수록 네 망치 앞에 무릎 꿇을 거다!,npc
321,researcher,offer,1,네 몸 주변에 은은하게 흐르는 마나의 파동… 혹시 느끼고 있어?,npc
321,researcher,offer,2,연구소의 푸른 불씨와 반응하는 특이한 기운이야.,npc
321,researcher,offer,3,슬라임 젤리 세 개만 가져와 줄래? 네 마나가 연금 촉매와 공명하는지 확인해 보고 싶어.,npc
321,researcher,offer,4,분석을 도와줄 수 있어?,npc
321,researcher,progress,1,젤리 표본은 구했어? 신선한 젤리일수록 마나 반응이 또렷해.,npc
321,researcher,complete,1,역시 내 가설이 맞았어! 젤리에 닿자마자 네 마력이 푸른빛으로 진동했어.,npc
321,researcher,complete,2,마나를 다루는 섬세한 재능이 아주 훌륭해.,npc
322,researcher,offer,1,마을 주민들의 이야기는 모두 들어보았어?,npc
322,researcher,offer,2,시장의 마리는 트래퍼 대장간의 로체는 배틀스미스 헛간의 토리는 와일드키퍼의 재능을 눈여겨보고 있더군.,npc
322,researcher,offer,3,자신의 모험 스타일에 어떤 기술이 맞을지 신중하게 비교해 보고 결정해.,npc
322,researcher,offer,4,다만 내 비전 연구를 시작하면 집중을 위해 다른 직업 시험은 모두 포기해야 해. 다른 곳에 마음을 둘 순 없거든.,npc
322,researcher,offer,5,슬라임 젤리 세 개를 정제해 올 수 있어? 푸른 불씨와 비전 마나의 탐구자 '알케미스트'가 될 준비가 되었어?,npc
322,researcher,progress,1,표본 정제는 진행 중이야? 서두르지 말고 안전하게 분석해 봐.,npc
322,researcher,complete,1,놀라워… 불씨와 마나가 완벽한 나선형으로 융합됐어! 오늘부터 넌 '알케미스트'야.,npc
322,researcher,complete,2,이제 마나의 흐름을 자유자재로 다루며 폭발적인 마법을 펼쳐봐!,npc
323,researcher,offer,1,스킬창(K)을 열면 알케미스트의 비전 연구 탭이 활성화되어 있을 거야.,npc
323,researcher,offer,2,연금 마법을 시전해 보고 벌판에서 마나의 반응을 관찰하고 와 줄래?,npc
323,researcher,progress,1,마나 술식은 잘 전개되고 있어? 무리하지 말고 차근차근 시전해 봐.,npc
323,researcher,complete,1,측정 수치가 경이로울 정도야! 마법과 물질의 결합이 완벽하게 들어맞았어.,npc
331,barnkeeper,offer,1,안녕… 가축들이 널 볼 때마다 꼬리를 흔들며 반기더라고.,npc
331,barnkeeper,offer,2,동물들의 마음을 편안하게 해주는 따뜻한 숨결을 지녔나 봐.,npc
331,barnkeeper,offer,3,헛간 아이들의 따뜻한 잠자리를 위해 부드러운 풀 열 포기만 모아줄래? 네 따스한 손길을 느껴보고 싶대.,npc
331,barnkeeper,offer,4,도와줄 수 있을까…?,npc
331,barnkeeper,progress,1,풀은 모으고 있어? 햇볕에 잘 마른 부드러운 잎으로 부탁해…,npc
331,barnkeeper,complete,1,고마워… 동물들이 풀잎에 볼을 비비며 정말 기뻐하고 있어.,npc
331,barnkeeper,complete,2,네 곁에 있으면 동물들도 마음을 놓나 봐.,npc
332,barnkeeper,offer,1,혹시 다른 친구들과도 이야기해 봤어?,npc
332,barnkeeper,offer,2,마리 누나의 날렵한 트래퍼 로체 아저씨의 든든한 배틀스미스 엘렌 누나의 지적인 알케미스트도 정말 멋진 길이야.,npc
332,barnkeeper,offer,3,숲의 소리에 귀 기울이면서 네 마음에 가장 와닿는 길을 천천히 고민해 봐...,npc
332,barnkeeper,offer,4,하지만 이 숲의 시험을 시작하면 다른 직업 시험은 포기해야 해. 자연은 온 마음을 다해 지켜야 하니까...,npc
332,barnkeeper,offer,5,닭 티켓 한 장과 당근 씨앗 다섯 개를 구해와 줘. '와일드키퍼'의 길을... 정말로 함께 걸어갈래?,npc
332,barnkeeper,progress,1,동물들이 널 기다리고 있어. 천천히 다정하게 다녀와 줘.,npc
332,barnkeeper,complete,1,아가 닭의 작은 심장 소리가 들려? 당근 싹도 네 품에서 파릇하게 숨 쉬고 있어…,npc
332,barnkeeper,complete,2,넌 이제 자연의 숨결을 함께 품은 '와일드키퍼'야! 숲이 널 영원히 감싸줄 거야.,npc
333,barnkeeper,offer,1,스킬창(K)의 와일드키퍼 탭에서 자연의 부름을 들어봐.,npc
333,barnkeeper,offer,2,야생의 기운과 교감하는 기술을 배우고 숲의 질서를 어지럽히는 것들을 진정시켜 줘.,npc
333,barnkeeper,progress,1,자연의 기술은 어때? 동물들과 교감하면서 천천히 익혀봐.,npc
333,barnkeeper,complete,1,벌판의 바람결이 한층 부드러워졌어. 동물들도 네 곁에서 안도하고 있단다.,npc
