Ruid,Category,Dname,NameKo,NameEn,ColorHex,GroupId
3ed1cd2d40574d70bbd90ad2e03ecb57,face,face-850,카툰 성형,,#aa661f,face:d81271426be3
e1f175dfbb3443429e4b41a52c7c6031,longcoat,longcoat-1586,안개 제독,,#8a857f,
e374d755d4694dc3aba71be3fa6a985b,face,face-9729,,Ice Queen Face,#b1aeb5,face:7838af68d7a6
40b6dde7005941a4b2ed7dc30b023e86,face,face-5191,동그래 얼굴,,#bf4ba6,face:d3d3a1489f02
9d4fa544aa97404aa1d1c2acdc37e20e,cap,cap-2096,사랑의 커플부대 투구,,,cap:abd9e0e508f7
9e55b0e9b5414eabb8b587c8f6ad7242,hair,hair-11567,,Purple Flowing Locks Hair,#6e46b3,hair:4b8c69d4224a
26c248dfd73741228e9abe723fc52e22,cap,cap-2749,,Commander Will Mask,#9f8986,
d0d61f9fb5d44f758a7d48c0b88267c5,cape,cape-491,길잃은 아기고양이,,#672403,
a73f73154fac4974a2b73c39720c45b4,cap,cap-2103,메이플 바캉스 모자,,#5d2f20,
4a87258de71542748256d5da30619b41,hair,hair-6548,검은색 부시시 펌 헤어,,#cbb6b0,hair:65c4769a07d8
46dabf3b34354bbe8903fde245908d40,glove,glove-571,,Enju's Bracelet,#d0353e,glove:c0d110601440
6958718ade1f40fdb4a66d18e3654d67,shoes,shoes-1153,모험가 캡틴 부츠,,#120d23,
9176c49a073c4496b2ddd3409470bd4e,weapon,onehandedweapon-2431,웡키출동,,,
f92b8fa95be946d2b6b82b94d3c4c147,face,face-10080,,Peculiar Face,#000008,
d904fa6d35764a8aa5b9ed279acac796,hair,hair-5241,주황색 가가 헤어,,#bc4015,hair:c3a330f1d4cb
19845e735e9049c9bebbdd0f3f2fb314,face,face-3532,은구슬 얼굴,,#9f38b4,face:2c69dfc57fa1
5d13b5a800e743d4bab377d58f542759,face,face-7500,,Hawalu Face,#0fc7ca,face:7ab7ddf7b19c
4b5b021f80524997bf660bc4f84102b0,twohandweapon,twohandedweapon-141,레드 스티어,,,
ef6dbcd4ee494c12874360f790c95c23,face,face-9907,,One-sided Makeup Face,#ba139a,
daed3bd1820a48bf8bb989039601bfbc,hair,hair-12347,,Fresh Tip Hair,#8c7763,hair:6cc9dde503c9
bd4fa8f87b61489d98b414d38ae66631,longcoat,longcoat-1024,화이트 도로스 로브,,#ddb3b3,longcoat:a667265bd9bc
1cc1dc64ae9c4bbd9ae9e93c639b7e90,longcoat,longcoat-1897,추추 햄버거 한벌옷,,#af8c0c,longcoat:f5d355ce70c5
944c76e5148e42e48034407add8ef0df,hair,hair-6874,갈색 블링 루야 헤어,,#d9bcb9,hair:2e1fe633812c
2d432daf174b43309ac80bb22973beb7,hair,hair-1131,보라색 콘로우헤어,,#6d3aaf,hair:ade62acbef58
54f418474b1640049a66fc57cecde36e,face,face-1136,믿음 얼굴,,#d07fbb,face:1e0c32faf962
50c3de6058374110a352e92ccee68882,weapon,onehandedweapon-2894,,Equipment Essence,,
57263a4c8e754c4da8f8899d99250c16,face,face-7410,,Shuteye,,face:7e8f493fe93d
5c943245e16943a8ae8d725af0907302,cape,cape-207,호신단도,,#5b4065,
26c0ab41a28b4d7da75f3377e6978b8b,twohandweapon,twohandedweapon-2236,,,,
77dfb54a6fc641deae369b47c647396c,hair,hair-2873,빨간색 앙증 리본 헤어,,#cd843b,hair:637efd1bb4ad
7802bd52d8a84ca4ab3a08401d4cb01c,twohandweapon,twohandedweapon-1925,,Rifle Blade,,
762fa13f29e348a2b16f16b97b5ac129,twohandweapon,twohandedweapon-1921,,Judgement,,
d3a1dff73cfc4854be28c71d4f29ce22,twohandweapon,twohandedweapon-1303,크레센트,,,
0c617b010bd6424cb4d668f7271b673e,longcoat,longcoat-66,병아리 앞치마,,#03192b,
4843b80cdff64ac0bf1d8d76aaa394ec,face,face-7184,,Silent Face,#59d339,face:719bf51fda02
36384e0864b14b739bfe82eb3097f999,longcoat,longcoat-2174,,Arbiter of Justice Suit,#030207,
ae419236cacd4fc98d2098a444c5eb9b,face,face-8879,,Pie Face,#515151,face:32f1a6e0ed7a
3f788650fe7c4d078c4f1afa1e4de2e6,face,face-871,부티나는 얼굴,,#906a30,face:6dc388d9429e
099fbbfeba4341878193bb020ce86866,longcoat,longcoat-1690,스노우 댄서,,#6b79b5,
5d0a3b63edaa4bb0ab133a35f94e417f,twohandweapon,twohandedweapon-1862,,Susano-o's Baleful Blaster,,
3435e79e02d6457ca10b9d267723358d,cap,cap-1976,해변 페도라,,#28170d,
837763413a2541cdbae8fddb5187d844,twohandweapon,twohandedweapon-2332,,,,
99730530f71d45b7b07fc455accec827,cap,cap-1191,다크 티베리안,,#4e4c45,cap:01414a300b7c
18a04756f6264502b1f532ad8b747684,face,face-340,자두 얼굴,,#ac724e,face:8b7a9cf0575d
55f9a5c4621645c0874efad194df3d16,hair,hair-8920,갈색 포니 엘피네 헤어,,#b29a93,hair:f130ecafc2cf
efc9329b016942a1b652cd6bbe84484e,longcoat,longcoat-1303,예그리나 한벌옷,,#0a1d59,
5a7160ed9b6b432bb74c14af528b86fb,weapon,onehandedweapon-2284,망각의 등불,,,
0030d40d6e654f4d8afc334383401303,face,face-5,순수미 얼굴,,#ce41c8,face:b20d19d31e84
a98fb04ff6eb46198d721b3e402a408a,subweapon,subweapon-102,,2nd Unwelcome Guest Katara,,
cf8940145e63457882c3d1e41eb3bead,hair,hair-5007,빨간색 푸들보글 헤어,,#dc5486,hair:f1f465294343
fff84392f904474da95752bd75596ba1,twohandweapon,twohandedweapon-2492,,,,
46048ebc28b14f568e7ee2c278fc3e5d,longcoat,longcoat-384,골판지 박스,,#8e4200,
5c710ef26a5b4e80af2c787733b1364a,cap,cap-2029,하늘 멀리,,#7fc3f4,
f4663402d4f5438ba997e4938e61d241,cap,cap-3645,,Stargazer Bonnet,#647ee8,
524c8df3afef41a2840f9b7ede088fc0,face,face-7339,,Lunar New Year VIP Face,,face:8b56197eb370
e69189d0a6824cc8baef12c385d561ae,hair,hair-5596,빨간색 월령 헤어,,#b44258,hair:c21d45d096c8
b38cb173f5554259aeafaeb9f7afd948,twohandweapon,twohandedweapon-1173,배틀 보우,,,
babb31d86b6a4b5a87994df94788a52a,hair,hair-11911,,Drowned Rat Hair,#748fa3,hair:178c5a0fe7b5
a5309ee66252440d981b6463c54c31c5,shoes,shoes-590,블랙 가리나 슈즈,,#e7b63a,
1befd64d2a2c47d3861a4e6244a31903,face,face-385,거울눈 얼굴,,#2588eb,face:6e568b27539c
e22a630467824c209df7a6cf3c6fa881,face,face-3967,슬우 얼굴,,#2688c5,face:3659d839add2
91b642b11224450cb7a04db2ead1aa68,cap,cap-3207,,Spring Ducky Rain Hat,#c3420b,
0f8c5911be634a0f95b4de38a73f0805,face,face-6192,,Pearl Shadow Face,#c8c8c8,face:5b5c9da7210c
3172ea2df26a4afc8ae7a2aca1989525,weapon,onehandedweapon-2133,샬랄라 요술봉,,,
8168cde847874a188a7cff00e221478e,twohandweapon,twohandedweapon-1940,,Astaroth Bow,,
116eb911182e4c69a21cdd896a866db1,twohandweapon,twohandedweapon-517,파이어 아룬드,,,
a95063c5eef2466499768e2225c55a5e,twohandweapon,twohandedweapon-1139,자쿰의 포이즈닉 폴암,,,
0956f699890d4fffb1f890b7fcfff2a4,hair,hair-6283,초록색 마노 헤어,,#62a981,hair:fd1ffeab4244
f541a8e877604e1c9161ee6b1ffc8890,hair,hair-12693,,Raccoon Ears Hair,#747474,hair:1e473ac0e033
143e80125bfe406a9fbc051be55dbe08,cap,cap-165,블루 메탈 기어,,#547395,cap:dfffb6712d98
c7c0bfcf02f94b689aa4831f3f823eaf,hair,hair-4836,노란색 무협인 머리,,#a99829,hair:605a0e1f8d8e
6085daee0d6142cca97055cf84007c67,weapon,onehandedweapon-134,테크니컬 ESP리미터,,,
bd4f9ae8cc6d459c8ea5d9d249854acd,face,face-9119,,Confounded Face,#18d5ed,face:3a62d04a1790
896a0c299ad84558b2f36a2bc13c7cda,face,face-1869,엔젤릭버스터 얼굴,,#b83a65,face:564ee416cdf9
7aecc91ebb284c7d8cdbe2c0e736da8d,hair,hair-2980,노란색 꽃 머리띠 단발머리,,#cfb802,hair:38f5244655a1
dc21e058ca5d43bbae4ec507e1beb951,cap,cap-1665,바람 그리고 탈모 무지개 가발,,#af5614,
ca37769577174ed1ad54e1e471632ba9,cap,cap-3465,,Visor,#0b6965,
aa1f93e1e79c49e4ba7092fb1e99896a,face,face-2319,사연있는 얼굴,,#4f9a04,face:5db2711a67b3
21fb702271354800bf4db4fda129c7be,hair,hair-866,파란색 핸섬 집사 헤어,,#7c9dd6,hair:4c5ba203560f
e59a3a0b262a44339dfb55b5dad40a87,twohandweapon,twohandedweapon-409,코라 반 레온 클로,,,
d8f07cb77166451795f7585a4d622dce,hair,hair-5233,파란색 트로피칼 머리,,#51a4b4,hair:9f1cff5fdc90
3bfcd52e95e848d58c78eea861479aec,twohandweapon,twohandedweapon-1784,,FrontierA Amethysian Halfmoon,,
ba967a5354b7404c9be43eda254fc748,hair,hair-4509,노란색 메블리 헤어,,,hair:3a78c7cfd958
52d98091bd0e43b0b6817d78d62e7245,longcoat,longcoat-443,그린 축구복,,#879e24,longcoat:1aa8fa250121
7f292469c062427e8fbb98e96c371d33,cap,cap-3122,,Soft Lavender Bear Hat,#a78cce,
54e3946189cb457a99cf3589206599d8,pants,pants-170,백무 바지,,#a4d8e5,pants:cc0a17373f56
6639c3a50c67458ea2051455d7c914e1,face,face-1395,여자얼굴12,,#b68236,face:05129bfa8517
ac7e30edd363406eaf21e8b30b632b7b,face,face-2362,콩콩이 성형,,#933ddb,face:eedc4e3627c4
d6dbec9116c14c4ebb9d9c268f83eb49,cap,cap-1624,달콤초코 조각케익,,#994d53,cap:9bd7961ea8e5
808a5d124cf84d54bb13a72aab7cc205,face,face-3766,꿈나라 얼굴,,#ab5935,face:b246eb2a3a69
9fa1ad8675d44f2aa671e661eb1aa0a0,hair,hair-3866,빨간색 포유 헤어,,#e78c68,hair:81ff89bd2098
51d66028443940e5bac33b375e2b51b0,hair,hair-6578,검은색 나랑 헤어,,#3d3d3d,hair:8152ac5e61b5
328010f32ffb4d90a7cfcd619b119131,face,face-6778,,Louie Face,#815441,face:766cfd207a25
24a09c57e7ef4a0cad68daea6935fd70,hair,hair-920,갈색 하얀 마법사 헤어,,#bd8968,hair:972f76ddc042
54cf0e50ce464cdea87accacb5796dec,hair,hair-10540,,Red Darkhound Hair,#ab393e,hair:aaea344849a5
25e3b1d3762747699682116440f05f84,hair,hair-954,초록색 파리지앵 헤어,,#49d990,hair:1cd7dcf9c378
090d94a91e3b409cb9263c785c859e29,face,face-6098,,Enticing Face,#b6b7bd,face:2202eff05523
6c8086fb65fa4cc38777a65a7d45ef77,hair,hair-2583,갈색 젠헤어,,#93594e,hair:be24cc778d28
deaf0b7c91fe4dedb9a32233e2cf7d1e,shoes,shoes-1310,퍼스트 컨택,,#282737,
2a3137e59a0e428793a4dc90b798bc27,face,face-571,,not-found,#9a2831,face:1a530bfdda0e
3fba3f1b33ea41a7b2726190724131ed,weapon,onehandedweapon-619,메이플 래티넘 파르마,,,
1620f1768b234dcc8df3578845ae23ee,hair,hair-9761,,Blue Pompadour,#4f7d8f,hair:60b91d1ecd37
a30effcbd8fc488a90d80ecb6c200844,cap,cap-2489,뾰족귀 모자,,#c2a19a,cap:554bdcf2e90d
e8e526e3506e4603830fbda442b47c14,hair,hair-5648,보라색 카리스마  헤어,,#ac04e3,hair:893721632ac7
8b815fa8a081435497feb67be7d0eb4a,hair,hair-11281,,Green Saturday Special,#62990a,hair:b90d2827d85a
64684dea926a43678e4174998ed3880c,hair,hair-2388,보라색 와일드 스피릿 헤어,,#6a46b4,hair:6ff2f00a7083
5be1d8037ac94327b3e8c086bd58e0fd,longcoat,longcoat-2314,,Cheesy Mouse Outfit,#f9810f,
05b9342620e84d3b9388cd621c33b043,hair,hair-9586,,Anastasia Hair Mod - Black,#6e717f,hair:11dfbbbe5788
96a4f34b967c40e7bd6e4d0d5f783013,cap,cap-3230,,New Year's Lion Tail,#4b0809,
813b694d2d414126b10ab34a19840845,glove,glove-512,말랑 오리 장갑,,#f7be2b,
a5a9fbd2da7b4d76bbef9944ec80a5db,face,face-2245,헤헤 얼굴,,#2fad95,face:c7724e175121
2d167edf7468480cb2d3e7a822622477,hair,hair-1136,주황색 부시시 펌 헤어,,#e69c86,hair:65c4769a07d8
b9489515a648431d86d7d6f3b04f39bf,hair,hair-4488,갈색 이클립스 헤어,,#b7652c,hair:808369aa1aee
6a8e3306a751400c8e2c35ff7c696e09,weapon,onehandedweapon-817,,not-found,,
70ec93b8312c41d3bbe3b1a5ba3cd46f,hair,hair-6724,주황색 블링 쉼표 헤어,,#cf887b,hair:66d9a3fb9468
78927de1fb524f20b6bd22cea68869c7,longcoat,longcoat-1947,로얄 어드벤쳐 슈트 (도적),,#3f2825,
08537ef733514c058a24173d1efbcc3c,longcoat,longcoat-2016,,Magic Trainee's Uniform (Type B),#0b070b,
7295d7b636844b259b29bfe6e4654419,hair,hair-2721,파란색 미스티로즈 헤어,,#7eae90,hair:e9a4464ea540
a25befa79a0d4768a72884cfa754eb9a,hair,hair-11599,,Black Quick Trim Hair,#595959,hair:154ea289793d
0efa4271d23740f0885bb23efb401c56,face,face-206,,not-found,#15b7be,face:d62412b5a091
15edc5931be146589b3c084c3d147793,faceaccessory,faceaccessory-29,루돌프의 빛나는 코,,,
a0e3f244d62b460bb2324211bde135d6,face,face-8662,,Solaria Face,,face:751625200ecc
03e8d0688c7e491b9ca8ccb2e416d333,hair,hair-94,노란색 드레드,,#ac920c,hair:4e6c2eeea253
248f43081c8740f9abe7f7706d9737db,hair,hair-916,검은색 큐티 베이비,,#665d62,hair:5c72224fca19
d9cb2e1fee0e4ed4a77390c40d0c8711,weapon,onehandedweapon-2662,봄 바람개비,,,
46ece1fd4ff74b118a31590d7a5e794d,weapon,onehandedweapon-2876,,FrontierC White Cane,,
cfe2c515b1334e1b97f1bec5b5dccdb8,cap,cap-3488,,"Go, Go! Sports Hairband",#2c4ad0,
