Id,Name,Desc,ProgressingDesc,CategoryEnum,CycleEnum,IsRepeatable,LinkedPrevId,RequiredId,AutoAccept,CannotAbandon,ConsumeItems,RewardItems,Priority,Disable,RewardUnlockId,GiverNpcId,TurnInNpcId,RewardPortalId,RequiredLevel,RequiredJobId,RewardJobId,RewardSP
302,멧돼지의 빈틈,트래퍼 전직 시험입니다. 보고하면 이 직업으로 확정되며 다른 직업 시험은 포기해야 합니다.,멧돼지의 빈틈을 마치고 멘토에게 보고하세요.,Sub,None,,301,,,,,Hand Axe:20,302,,,vendor,vendor,,4,novice,trapper,5
303,트래퍼 실전 수련,첫 전투 기술을 배우고 실전에서 익혀 보세요. 보고하면 다음 스킬을 배울 수 있습니다.,기술을 익힌 뒤 사냥하고 멘토에게 보고하세요.,Sub,None,,302,,,,,,303,,,vendor,vendor,,4,trapper,,3
311,모루를 달굴 땔감,배틀스미스의 기초를 익혀 보세요.,모루를 달굴 땔감을 마치고 멘토에게 보고하세요.,Sub,None,,107,,,,Wood:10,,311,,,blacksmith,blacksmith,,2,novice,,1
312,단단함을 이해하는 시험,배틀스미스 전직 시험입니다. 보고하면 이 직업으로 확정되며 다른 직업 시험은 포기해야 합니다.,단단함을 이해하는 시험을 마치고 멘토에게 보고하세요.,Sub,None,,311,,,,,Copper Ore:5,312,,,blacksmith,blacksmith,,4,novice,battle_smith,5
313,배틀스미스 실전 수련,첫 전투 기술을 배우고 실전에서 익혀 보세요. 보고하면 다음 스킬을 배울 수 있습니다.,기술을 익힌 뒤 사냥하고 멘토에게 보고하세요.,Sub,None,,312,,,,,,313,,,blacksmith,blacksmith,,4,battle_smith,,3
321,촉매가 될 표본,알케미스트의 기초를 익혀 보세요.,촉매가 될 표본을 마치고 멘토에게 보고하세요.,Sub,None,,107,,,,Slime Jelly:3,,321,,,researcher,researcher,,2,novice,,1
322,움직이는 표본의 비밀,알케미스트 전직 시험입니다. 보고하면 이 직업으로 확정되며 다른 직업 시험은 포기해야 합니다.,움직이는 표본의 비밀을 마치고 멘토에게 보고하세요.,Sub,None,,321,,,,,Slime Jelly:3,322,,,researcher,researcher,,4,novice,alchemist,5
323,알케미스트 실전 수련,첫 전투 기술을 배우고 실전에서 익혀 보세요. 보고하면 다음 스킬을 배울 수 있습니다.,기술을 익힌 뒤 사냥하고 멘토에게 보고하세요.,Sub,None,,322,,,,,,323,,,researcher,researcher,,4,alchemist,,3
331,헛간의 겨울 준비,와일드키퍼의 기초를 익혀 보세요.,헛간의 겨울 준비을 마치고 멘토에게 보고하세요.,Sub,None,,107,,,,Grass:10,,331,,,barnkeeper,barnkeeper,,2,novice,,1
332,사나워진 숲의 친구,와일드키퍼 전직 시험입니다. 보고하면 이 직업으로 확정되며 다른 직업 시험은 포기해야 합니다.,사나워진 숲의 친구을 마치고 멘토에게 보고하세요.,Sub,None,,331,,,,,Chicken Ticket:1|Carrot Seed:5,332,,,barnkeeper,barnkeeper,,4,novice,wild_keeper,5
333,와일드키퍼 실전 수련,첫 전투 기술을 배우고 실전에서 익혀 보세요. 보고하면 다음 스킬을 배울 수 있습니다.,기술을 익힌 뒤 사냥하고 멘토에게 보고하세요.,Sub,None,,332,,,,,,333,,,barnkeeper,barnkeeper,,4,wild_keeper,,3
