SkillId,Name,Cooldown,DamageMultiplier,StaminaCost,EffectRUID,IconRUID,SoundRUID,Description,Type,ParentSkillId,RequiredLevel,UnlockAchievementId,MaxLevel,SPCost,DamagePerLevel,CooldownPerLevel,TreeRow,TreeCol,PassiveStat,PassiveValuePerLevel,ParentRequiredLevel,HitEffectRUID,EffectOffset,EffectScale,CastAction,ConsumeItem,ConsumeCount,ProjectileRUID,UnlockOwnedItem,DamageModel,SkillPower,RequireEquippedItem,HitEffectScale,JobId,JobName,ManaCost,UnlockQuestId,ProjectileCount,SpreadDegrees,ProjectileSpeed,ProjectileLife,ProjectileSize,PierceCount,SplashSize,SplashMultiplier,AreaSize,AreaReach,Duration,TickInterval,Status,StatusDuration,StatusValue,StatusMaxStacks,ComboStatus,ComboMultiplier,ConsumeCombo,PassiveStat2,PassiveValue2,PassiveItem,HealPerTick,ImpactOnly,GrowProjectile
thrifty_hands,알뜰한 손놀림,0,0,0,,,,투척 시 탄약을 레벨당 20% 확률로 보존합니다. 마스터하면 100% 보존합니다. 시전할 탄약은 반드시 보유해야 합니다.,Passive,,4,,5,1,0,0,1,1,AmmoSave,0.2,,,,,,,,,,,,,,trapper,트래퍼,,,,,,,,,,,,,,,,,,,,,,,,,,,
trophy_eye,전리품 감별안,0,0,0,,,,자연 전리품을 레벨당 10% 확률로 1개 더 얻습니다. 덫에 걸린 적은 확률이 두 배가 됩니다.,Passive,hunter_trap,4,,3,1,0,0,2,2,LootChance,0.1,2,,,,,,,,,,,,,trapper,트래퍼,,303,,,,,,,,,,,,,,,,,,,,,,,,,
armor_break,갑주 파쇄타,0.9,1.3,6,522793cef4ff4b79bdf73b9eda9386f8,5c61ff8df1544c05a200e598ea9164ce,1a0b41d7b3ad476eb20fd33219967661,앞의 적을 때려 8초 동안 방어력을 5%씩 깎습니다. 최대 6중첩입니다. 광석을 들고 적중시키면 담금질 피부가 발동합니다.,Melee,,4,,3,1,0.2,-0.05,1,2,,,,34cee7428d694e3a91e8a4aca8dd04ac,1.5,2.0,swingO2,,,,,Physical,0,,1.0,battle_smith,배틀스미스,,,,,,,,,,,,,,,ArmorBreak,8,0.05,6,,,,,,,,,
tempered_skin,담금질 피부,0,0,0,,,,구리 광석 보유 중 공격 적중 후 6초 동안 받는 피해가 레벨당 2 감소합니다.,Passive,,4,,3,1,0,0,1,1,DamageReduction,2,,,,,,,,,,,,,,battle_smith,배틀스미스,,,,,,,,,,,,,6,,,,,,,,,,,Copper Ore,,,
earth_crusher,대지 분쇄타,9,2.8,18,4a968bf7bc5f41f788b49e61557ce627,1dc02c9673284efb94da9c86e7414eeb,5ff81e348b9547bea7998b339c21f289,주변을 강타하고 1.2초 기절시킵니다. 갑주 파쇄 중첩당 피해가 15% 증가하며 중첩을 소모합니다.,Ultimate,armor_break,4,,3,1,0.5,-1.0,2,2,,,3,11453a10e5374d9f95f226990c9d7b30,0.0,2.0,swingT2,,,,,Physical,0,,1.0,battle_smith,배틀스미스,10,313,,,,,,,,,6,,,,Stun,1.2,,,ArmorBreak,0.15,true,,,,,,
acid_potion,슬라임 산성 포션,8,0.45,4,cec1e8c25553408993b680b46baf1c36,f3fcac2d460041b288cc1973caaaf30f,ffa11f4087b9479db85902cc525ffa12,앞에 6초 동안 산성 장판을 만듭니다. 1초마다 피해를 주고 이동 속도를 35% 낮춥니다. 푸른 불씨의 촉매가 됩니다.,Field,,4,,3,1,0.1,-0.3,1,2,,,,b45c1f472d2d447494567641b3d7e765,1.2,2.0,shoot1,,,983a41e810e44300a4fe51ead9cb1615,,Magic,8,,3.0,alchemist,알케미스트,14,,,,,,,,,,4,3,6,1,Acid,2,0.35,,,,,,,,,,
mana_affinity,비전 마나 친화,0,0,0,,,,레벨당 최대 MP가 15 증가하고 초당 MP 회복량이 0.5 증가합니다.,Passive,,4,,3,1,0,0,1,1,MaxMana,15,,,,,,,,,,,,,,alchemist,알케미스트,,,,,,,,,,,,,,,,,,,,,,ManaRegen,0.5,,,,
blue_ember,푸른 불씨 폭발,6,2,6,cec1e8c25553408993b680b46baf1c36,f3fcac2d460041b288cc1973caaaf30f,ffa11f4087b9479db85902cc525ffa12,푸른 불씨를 던져 착탄 지점에 폭발을 일으킵니다. 산성에 젖은 적에게 피해가 75% 증가하고 산성 표식을 소모합니다.,Projectile,acid_potion,4,,3,1,0.4,-0.3,2,2,,,3,b45c1f472d2d447494567641b3d7e765,1.2,2.0,shoot1,,,983a41e810e44300a4fe51ead9cb1615,,Magic,8,,3.0,alchemist,알케미스트,18,323,,,9,,,,5,1,,,,,,,,,Acid,0.75,true,,,,,true,
wild_whistle,야생의 호루라기,8,1.8,8,522793cef4ff4b79bdf73b9eda9386f8,5c61ff8df1544c05a200e598ea9164ce,1a0b41d7b3ad476eb20fd33219967661,멧돼지 정령이 앞으로 돌진하며 최대 4마리를 밀어내고 1초 넘어뜨립니다. 회복할 틈을 만듭니다.,Projectile,,4,,3,1,0.35,-0.05,1,2,,,,34cee7428d694e3a91e8a4aca8dd04ac,1.5,2.0,swingO2,,,a11cef0c68bf47149f2f5703a04926fd,,Physical,0,,1.0,wild_keeper,와일드키퍼,10,,,,10,0.8,2,4,,,,,,,Stun,1,,,,,,,,,,,
thorn_guard,가시 넝쿨 방벽,12,0.6,6,522793cef4ff4b79bdf73b9eda9386f8,5c61ff8df1544c05a200e598ea9164ce,1a0b41d7b3ad476eb20fd33219967661,6초 동안 피해를 30% 줄이고 가까운 공격자에게 받은 피해의 60%를 되돌립니다. 레벨당 반사율이 10% 증가합니다.,Guard,,4,,3,1,0.1,-0.05,1,1,,,,34cee7428d694e3a91e8a4aca8dd04ac,1.5,2.0,swingO2,,,,,Physical,0,,1.0,wild_keeper,와일드키퍼,12,,,,,,,,,,,,6,,,,0.3,,,,,,,,,,
nature_vitality,자연의 활력,18,0,6,86500681cfad4e8488cf4ba9376fe801,,,6초 동안 주변 아군을 초당 4+레벨×2 회복합니다. 배운 뒤 가축에게 먹이를 주면 친밀도가 더 오르고 생산 대기가 레벨당 10% 짧아집니다.,HealAura,wild_whistle,4,,3,1,0,0,2,2,AnimalCare,0.1,3,,,2,,,,,,,,,,wild_keeper,와일드키퍼,20,333,,,,,,,,,6,0,6,1,,,,,,,,,,,4,,
